Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
62,F,1,Dead,Starvation / Exhaustion,4,45.6,0,3,-0.7730595014639773,2.8301696379409895
83,M,1,Dead,Starvation / Exhaustion,4,15.2,0,3,-0.5005981318712792,2.8781815578923426
7,F,1,Dead,Socio-Economic Disease Roll,2,15.51,70,2,-0.6074323094368158,1.5426327542271832
141,F,0,Dead,Socio-Economic Disease Roll,11,124.93,90,1,-0.7969584177388656,1.665639978791843
50,M,6,Dead,Socio-Economic Disease Roll,20,66.97,30,3,-0.9523204433736152,2.0289365417081657
20,F,1,Dead,Starvation / Exhaustion,4,50.86,0,2,-0.7138346404234281,2.2057998864030415
15,M,1,Dead,Socio-Economic Disease Roll,15,23.76,7,3,-0.5471907409330578,2.383697623884495
98,F,1,Dead,Starvation / Exhaustion,4,45.32,0,2,-0.37306547170137216,2.1774645205899725
65,F,0,Dead,Starvation / Exhaustion,9,15.46,0,3,-0.9047058130400748,2.5683244007720454
79,M,1,Dead,Starvation / Exhaustion,4,62.99,0,3,-0.6642319837848436,1.8948018416192416
168,M,1,Dead,Socio-Economic Disease Roll,23,60.99,80,2,-0.46459521512231094,1.8840132905710192
195,M,0,Dead,Socio-Economic Disease Roll,30,255.26,90,1,-0.7205446068648895,1.6947978636969938
84,F,1,Dead,Socio-Economic Disease Roll,8,69.42,21,3,-0.28204062846883554,2.6518553264678104
57,F,0,Dead,Starvation / Exhaustion,6,-19.62,0,2,-0.7393369209368279,2.4900173636412024
153,F,0,Dead,Socio-Economic Disease Roll,17,192.46,90,1,-0.629769779885621,1.765426898566412
42,M,1,Dead,Starvation / Exhaustion,4,16.72,0,3,-0.4010883759936841,2.511230126226532
32,F,1,Dead,Biological Limit (Old Age),26,307.52,70,2,-0.4800526291698738,1.6922000597103624
180,M,0,Dead,Socio-Economic Disease Roll,22,98.18,90,1,-0.7293855890806283,1.9288837054125105
91,F,0,Dead,Socio-Economic Disease Roll,5,31.98,9,3,-0.325157317068951,2.57091675917286
226,F,0,Dead,Socio-Economic Disease Roll,24,78.62023029407266,90,1,-0.6770225525889769,1.7646905798710462
9,M,1,Dead,Socio-Economic Disease Roll,18,15.55,3,3,-0.44727002041125763,2.051925444182822
70,F,0,Dead,Socio-Economic Disease Roll,1,52.79699092391843,90,2,-0.712535319502212,2.8192366884786284
108,F,0,Dead,Starvation / Exhaustion,4,36.93,0,3,-0.5641190707703546,2.6244761293383516
94,F,0,Dead,Starvation / Exhaustion,4,3.01,0,2,-0.7071111672196302,1.8664233984650778
69,M,1,Dead,Socio-Economic Disease Roll,22,13.75,11,3,-0.847399670590326,1.9013877942858026
126,M,0,Dead,Socio-Economic Disease Roll,3,58.55,90,1,-0.6679719501131269,1.6089103222329568
164,F,0,Dead,Socio-Economic Disease Roll,18,125.87,90,1,-0.4806459197465327,1.8701536321340844
88,F,3,Dead,Biological Limit (Old Age),26,385.77,50,2,-0.6528032383639786,2.080028581230823
60,F,1,Dead,Starvation / Exhaustion,4,19.38,0,3,-0.46767802470658726,2.366960656443318
101,F,1,Dead,Starvation / Exhaustion,4,53.88,0,3,-0.5994838452990214,1.470635549857421
10,F,1,Dead,Biological Limit (Old Age),23,273.34,31,3,-0.663992385136796,1.922373863099502
133,M,0,Dead,Socio-Economic Disease Roll,16,232.06,59,2,-0.6082875611916837,2.8419983864864373
22,F,0,Dead,Starvation / Exhaustion,4,68.61,0,3,-0.5339745542683082,1.9419121766274943
143,F,0,Dead,Socio-Economic Disease Roll,17,184.88,90,1,-0.455178090742945,1.7327125544412059
52,F,1,Dead,Biological Limit (Old Age),27,268.3,80,2,-0.9767014404030359,2.25576448331596
82,F,1,Dead,Starvation / Exhaustion,4,-5.22,0,2,-0.6677484141093384,1.6198712849969876
193,M,0,Dead,Socio-Economic Disease Roll,18,-6.77,90,1,-0.859151454664873,1.9046565157186952
